category,hood,weekday,month,hour,count
THEFT,Center,1,07,02,3
OTHER,SouthEast,5,08,17,4
OTHER,SouthWest,1,12,21,2
SEX,SouthEast,5,03,00,2
DRUG/ALC,NorthEast,5,05,02,6
SEX,NorthEast,2,08,00,8
OTHER,Center,2,06,22,4
SEX,Center,3,07,03,3
OTHER,NorthEast,7,07,21,16
TRESPASSING,NorthWest,7,08,15,2
SEX,SouthEast,4,04,05,1
THEFT,SouthEast,1,07,00,1
THEFT,NorthEast,7,09,22,19
SEX,Center,5,03,02,3
CONDUCT,NorthWest,3,07,13,2
OTHER,SouthEast,5,11,01,2
THEFT,SouthEast,3,04,04,2
FRAUD,SouthEast,4,04,04,1
SEX,Center,3,06,16,1
OTHER,SouthEast,4,01,18,9
THEFT,NorthEast,6,03,11,20
OTHER,NorthEast,6,05,16,20
OTHER,SouthEast,3,06,08,3
MISSING PERSONS,SouthWest,4,06,12,2
SEX,NorthEast,2,04,22,3
OTHER,SouthEast,7,12,11,1
CONDUCT,NorthEast,7,08,07,2
OTHER,SouthWest,6,03,00,1
OTHER,SouthEast,7,06,15,2
OTHER,NorthEast,7,06,10,8
MISSING PERSONS,NorthEast,7,05,14,3
CONDUCT,NorthEast,1,12,23,2
CONDUCT,NorthEast,5,04,09,3
FRAUD,NorthEast,4,07,20,1
THEFT,NorthEast,3,07,20,23
SEX,SouthEast,4,04,23,1
CONDUCT,NorthWest,4,04,20,1
FRAUD,NorthEast,5,08,12,3
OTHER,NorthEast,6,12,02,11
DRUG/ALC,SouthEast,5,07,09,1
OTHER,NorthEast,1,02,07,5
THEFT,SouthWest,1,10,01,2
DRUG/ALC,NorthWest,2,03,12,1
TRESPASSING,Center,7,11,15,1
OTHER,NorthWest,6,04,08,3
THEFT,NorthWest,4,10,13,5
THEFT,NorthEast,4,03,16,15
OTHER,NorthEast,4,05,11,28
THEFT,Center,7,12,06,2
FRAUD,NorthEast,3,03,16,2
OTHER,NorthEast,6,01,20,23
TRESPASSING,Center,3,11,08,3
TRESPASSING,Center,4,07,15,1
OTHER,NorthEast,5,02,01,10
THEFT,SouthWest,5,10,07,1
OTHER,NorthWest,5,01,21,3
CONDUCT,NorthEast,4,01,08,1
CONDUCT,NorthEast,4,10,20,1
THEFT,NorthEast,1,12,12,13
CONDUCT,NorthEast,2,07,19,3
CONDUCT,NorthEast,3,06,18,3
OTHER,Center,2,10,03,3
FRAUD,NorthEast,2,04,17,2
FRAUD,SouthWest,1,09,10,1
THEFT,SouthWest,7,07,12,4
OTHER,NorthEast,6,10,08,10
OTHER,SouthEast,2,01,07,2
THEFT,NorthWest,3,09,21,6
FRAUD,SouthWest,7,10,23,1
FRAUD,NorthEast,3,04,13,2
THEFT,NorthEast,4,04,13,14
THEFT,SouthEast,7,03,02,3
MISSING PERSONS,NorthEast,7,10,18,2
SEX,NorthWest,2,07,16,1
CONDUCT,SouthWest,5,06,19,1
FRAUD,SouthWest,3,11,12,2
THEFT,SouthWest,4,05,00,1
CONDUCT,NorthEast,1,12,05,1
OTHER,Center,6,07,20,5
SEX,NorthEast,1,08,16,6
CONDUCT,Center,3,11,15,1
OTHER,SouthEast,2,04,20,6
OTHER,NorthEast,7,02,17,24
TRESPASSING,NorthEast,4,01,15,1
THEFT,NorthEast,2,12,09,14
THEFT,SouthWest,6,01,21,3
THEFT,SouthEast,2,06,03,2
OTHER,NorthWest,6,10,07,2
OTHER,NorthWest,1,12,22,1
CONDUCT,Center,7,11,08,1
OTHER,Center,7,02,18,7
OTHER,NorthEast,2,07,04,4
OTHER,Center,3,03,11,5
THEFT,Center,3,05,16,2
OTHER,SouthWest,1,05,17,2
TRESPASSING,NorthEast,6,09,11,1
MISSING PERSONS,Center,1,10,07,3
OTHER,SouthWest,5,06,04,1
OTHER,NorthEast,6,04,07,13
CONDUCT,NorthWest,1,11,18,1
SEX,NorthEast,5,10,10,3
OTHER,NorthWest,1,02,08,2
CONDUCT,NorthWest,3,08,15,1
DRUG/ALC,NorthEast,6,01,19,1
OTHER,SouthEast,7,11,17,5
THEFT,Center,7,10,15,6
CONDUCT,Center,3,02,10,2
